close,ema20,ema50,rsi14,trend,bos,future_return,target
78202.91,78254.21913139698,78671.34553329156,55.6193281224435,UPTREND,NO_BOS,-1265.2100000000064,0
78051.51,78249.33254745443,78652.97551237817,51.601564780755574,DOWNTREND,NO_BOS,-1657.8600000000006,0
78051.41,78230.49230483972,78629.38862953981,53.17889163006168,DOWNTREND,BOS_DOWN,-1641.949999999997,0
78034.36,78213.43684723593,78606.72280093041,61.29443912723855,DOWNTREND,NO_BOS,-1624.3500000000058,0
78089.98,78196.38190940394,78584.27720089392,55.38549852223655,DOWNTREND,NO_BOS,-1383.5899999999965,0
78268.05,78186.24839422261,78564.8929969373,52.521958790119896,DOWNTREND,NO_BOS,-2015.550000000003,0
78415.3,78194.03902334427,78553.25209509661,54.362730316929095,UPTREND,NO_BOS,-1487.300000000003,0
78277.36,78215.11149731149,78547.8422090144,60.719730958060715,UPTREND,NO_BOS,-1367.4400000000023,0
78405.72,78221.03992613897,78537.23506356287,55.78237675253995,UPTREND,NO_BOS,-1302.6699999999983,0
77997.24,78238.62850460193,78532.07761008982,57.30325444744303,UPTREND,NO_BOS,-919.0200000000041,0
77457.67,78215.63912321127,78511.10358616474,47.51655451452619,DOWNTREND,BOS_DOWN,-455.8000000000029,0
77209.95,78143.45158766734,78469.79246513867,32.35721480847579,DOWNTREND,BOS_DOWN,-69.08000000000175,0
77109.22,78054.54667455617,78420.38687827048,22.390356276157974,DOWNTREND,NO_BOS,-442.2100000000064,0
76835.41,77964.51556269368,78368.9685693187,21.901890881881187,DOWNTREND,NO_BOS,-217.94000000000233,0
76924.65,77856.98169957999,78308.82901758072,19.98806916743206,DOWNTREND,BOS_DOWN,-137.5399999999936,0
77038.49,77768.1882043819,78254.5474874795,24.180112630991886,DOWNTREND,NO_BOS,-111.24000000000524,0
76931.4,77698.69313729792,78206.85895855873,29.222489314048232,DOWNTREND,NO_BOS,-20.15999999998894,0
76912.52,77625.6176004124,78156.8409601839,27.993885498492958,DOWNTREND,NO_BOS,116.8799999999901,1
77073.69,77557.70354323027,78108.04405978453,27.973768946831186,DOWNTREND,BOS_DOWN,160.0,1
77040.42,77511.60701530358,78067.48115547927,30.84026167449069,DOWNTREND,NO_BOS,8.290000000008149,1
76933.16,77466.73206146515,78027.20424742126,25.5193730432528,DOWNTREND,NO_BOS,-114.36000000000058,0
76764.74,77415.91567465894,77984.30055144396,19.96506387393815,DOWNTREND,NO_BOS,277.1299999999901,1
77285.83,77353.89894373906,77936.47464746577,19.721439323575623,DOWNTREND,NO_BOS,-571.2100000000064,0
77639.98,77347.41618719249,77910.95917109457,30.62856114883911,DOWNTREND,BOS_UP,-699.7699999999895,0
76937.7,77375.27940745988,77900.33253693399,43.701872902151955,DOWNTREND,BOS_UP,-64.94999999999709,0
76393.65,77333.60517817798,77862.58224136796,41.33079911302282,DOWNTREND,NO_BOS,-1.2200000000011642,0
76409.46,77244.08563739913,77804.97705543195,37.61410259522701,DOWNTREND,BOS_DOWN,111.76999999998952,1
76410.01,77164.59748145635,77750.25089639542,39.10153378437318,DOWNTREND,BOS_DOWN,484.58000000000175,1
76706.39,77092.73200703194,77697.6924298701,42.75816281365957,DOWNTREND,NO_BOS,150.36999999999534,1
76252.5,77055.93753017177,77658.81782477716,46.529208966236766,DOWNTREND,NO_BOS,550.7799999999988,1
76928.0,76979.4196701554,77603.66810615845,38.72094458268389,DOWNTREND,NO_BOS,-109.25999999999476,0
76909.92,76974.52255871202,77577.17131768166,49.95805265625393,DOWNTREND,NO_BOS,112.30999999999767,1
77103.05,76968.36993407278,77551.0045993412,49.96791628618666,DOWNTREND,NO_BOS,-120.7100000000064,0
77078.22,76981.19660701824,77533.43775230821,50.3594638405822,UPTREND,NO_BOS,-366.00999999999476,0
77001.87,76990.43693015935,77515.58607574711,50.46375588282928,UPTREND,NO_BOS,-167.50999999999476,0
77140.87,76991.5257939537,77495.44034728645,50.84942304506592,DOWNTREND,NO_BOS,-352.0399999999936,0
76667.01,77005.74905167239,77481.53562778502,54.683954780590085,UPTREND,BOS_UP,153.97000000000116,1
76617.47,76973.48818960835,77449.59344630326,42.202093823874776,DOWNTREND,NO_BOS,72.94999999999709,1
76787.11,76939.58169535994,77416.96115429138,36.043677062717656,DOWNTREND,NO_BOS,-63.570000000006985,0
76927.25,76925.06058151614,77392.26110902506,47.594877675596834,DOWNTREND,NO_BOS,-146.88000000000466,0
76911.24,76925.26909756222,77374.02537925937,59.78472145817295,DOWNTREND,NO_BOS,285.75,1
77029.4,76923.93299303249,77355.87693301392,59.200557409512626,UPTREND,NO_BOS,384.7100000000064,1
77233.69,76933.97746988654,77343.07391603298,60.88746392172994,DOWNTREND,NO_BOS,48.94999999999709,1
77048.71,76962.52152037354,77338.78435069836,59.57884334512907,DOWNTREND,NO_BOS,409.3299999999872,1
76818.8,76970.72994700464,77327.4088859651,66.02993344097685,UPTREND,NO_BOS,666.3300000000017,1
77041.87,76956.2604282423,77307.46343945667,47.320797676061936,UPTREND,NO_BOS,475.58000000000175,1
76714.62,76964.41372079065,77297.04801045837,52.941491187787236,UPTREND,NO_BOS,667.8700000000099,1
76940.21,76940.62384262012,77274.20769632274,41.82950993466615,UPTREND,NO_BOS,677.0499999999884,1
76872.75,76940.58442903725,77261.10974744735,47.32309458877575,UPTREND,NO_BOS,331.8600000000006,1
76392.43,76934.12400722418,77245.87995342982,47.486862081046446,UPTREND,NO_BOS,1053.6500000000087,1
76521.23,76882.53410177425,77212.41132780512,37.14117833016057,DOWNTREND,BOS_DOWN,934.2300000000105,1
76894.59,76848.12418731955,77185.3061776951,47.158461850332955,DOWNTREND,NO_BOS,444.0100000000093,1
76856.76,76852.54950281294,77173.90554327569,54.79615642891253,DOWNTREND,NO_BOS,712.1900000000023,1
76803.28,76852.95050254503,77161.46846314723,51.26307046718182,DOWNTREND,NO_BOS,611.8099999999977,1
76818.74,76848.21997849313,77147.42185674931,47.67890777417046,DOWNTREND,NO_BOS,848.75,1
